Time: 2026-06-25 20:20:46
Log Dir: logs/2026-06-25_20-20-46/GeFL_DDPM_baseline_total
================================================================================

==============================        Args        ==============================
  exp_timestamp: None
  exp_conf: ./configs/het-iid-exp.yaml
  device: cuda:1
  seed: 15698
  algorithm: GeFL_DDPM_baseline_total
  num_new_clients: 1
  num_train_mnist: 10
  num_train_emnist: 10
  num_train_fashionmnist: 0
  num_train_cifar10: 10
  num_train_cifar100: 0
  num_train_usps: 0
  label_mapping: independent
================================================================================
==============================    Exp Configs     ==============================
exp_name: model-heterogeneity
heterogeneous: true
dirichlet_alpha: 100
global_rounds: 50
local_epochs: 1
local_loss_fn: CrossEntropyLoss
local_optim: Adam
local_lr: 0.001
batch_size: 64
sample_frac: 1.0
test_interval: 1
metric_type: accuracy
global_feature_dim: 256
optim: Adam
optim_lr: 0.001
global_gen_epochs: 10
gen_noise_dim: 128
gen_optim: Adam
gen_optim_lr: 0.001
n_feat: 32
ddpm_guide_w: 1.0
global_feat_gen_epochs: 10
feat_gen_noise_dim: 128
feat_gen_optim: Adam
feat_gen_optim_lr: 0.001
feat_gen_div_beta: 1.0
public_data_ratio: 0.05
start_mapping_epoch: 10
gen_observer_weight: 0.0
index_matching: ddpm
aggregate_method: dataset_name
use_new_entropy_method: false
entropy_ratio: 0.75
cs_threshold: 0.9
global_model_epochs: 5
global_model_optim: Adam
global_model_optim_lr: 0.001
global_samples_per_class: 64

================================================================================

==================================================
Start 50 rounds training by GeFL_DDPM_baseline_total
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]
--- Round 1 ---
Client 0 (MNIST) | Target Loss: 1.0013 | DDPM Loss: 0.1966
Client 25 (CIFAR10) | Target Loss: 1.8985 | DDPM Loss: 0.2253
Client 26 (CIFAR10) | Target Loss: 2.2131 | DDPM Loss: 0.2197
Client 27 (CIFAR10) | Target Loss: 1.9626 | DDPM Loss: 0.2351
Client 28 (CIFAR10) | Target Loss: 2.1365 | DDPM Loss: 0.2452
Client 29 (CIFAR10) | Target Loss: 2.1150 | DDPM Loss: 0.2336
Client 30 (CIFAR10) | Target Loss: 2.2537 | DDPM Loss: 0.2231
Client 31 (CIFAR10) | Target Loss: 2.1634 | DDPM Loss: 0.2182
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]
--- Round 2 ---
Client 0 (MNIST) | Target Loss: 0.4522 | DDPM Loss: 0.0935
Client 1 (MNIST) | Target Loss: 0.4471 | DDPM Loss: 0.0917
Client 2 (MNIST) | Target Loss: 0.1903 | DDPM Loss: 0.0963
Client 3 (MNIST) | Target Loss: 0.1790 | DDPM Loss: 0.0937
Client 4 (MNIST) | Target Loss: 0.6538 | DDPM Loss: 0.0893
Client 5 (MNIST) | Target Loss: 1.1661 | DDPM Loss: 0.0959
Client 6 (MNIST) | Target Loss: 0.3075 | DDPM Loss: 0.0901
Client 7 (MNIST) | Target Loss: 0.4327 | DDPM Loss: 0.0938
Client 8 (MNIST) | Target Loss: 1.2459 | DDPM Loss: 0.0947
Client 9 (MNIST) | Target Loss: 1.3639 | DDPM Loss: 0.0963
Client 11 (EMNIST) | Target Loss: 0.7445 | DDPM Loss: 0.0201
Client 12 (EMNIST) | Target Loss: 0.6792 | DDPM Loss: 0.0198
Client 13 (EMNIST) | Target Loss: 0.4995 | DDPM Loss: 0.0203
Client 14 (EMNIST) | Target Loss: 0.4693 | DDPM Loss: 0.0203
Client 15 (EMNIST) | Target Loss: 0.7360 | DDPM Loss: 0.0203
Client 16 (EMNIST) | Target Loss: 1.3028 | DDPM Loss: 0.0195
Client 17 (EMNIST) | Target Loss: 0.5989 | DDPM Loss: 0.0199
Client 18 (EMNIST) | Target Loss: 0.4956 | DDPM Loss: 0.0204
Client 19 (EMNIST) | Target Loss: 0.8507 | DDPM Loss: 0.0198
Client 20 (EMNIST) | Target Loss: 0.9187 | DDPM Loss: 0.0201
Client 22 (CIFAR10) | Target Loss: 1.7857 | DDPM Loss: 0.1281
Client 23 (CIFAR10) | Target Loss: 1.6159 | DDPM Loss: 0.1206
Client 24 (CIFAR10) | Target Loss: 1.6268 | DDPM Loss: 0.1252
Client 25 (CIFAR10) | Target Loss: 1.6646 | DDPM Loss: 0.1224
Client 26 (CIFAR10) | Target Loss: 2.0029 | DDPM Loss: 0.1182
Client 27 (CIFAR10) | Target Loss: 1.7585 | DDPM Loss: 0.1233
Client 28 (CIFAR10) | Target Loss: 1.8822 | DDPM Loss: 0.1298
Client 29 (CIFAR10) | Target Loss: 1.8277 | DDPM Loss: 0.1234
Client 30 (CIFAR10) | Target Loss: 2.1055 | DDPM Loss: 0.1201
Client 31 (CIFAR10) | Target Loss: 2.0471 | DDPM Loss: 0.1232
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]
--- Round 3 ---
Client 0 (MNIST) | Target Loss: 0.3461 | DDPM Loss: 0.0312
Client 1 (MNIST) | Target Loss: 0.2258 | DDPM Loss: 0.0303
Client 2 (MNIST) | Target Loss: 0.1195 | DDPM Loss: 0.0318
Client 3 (MNIST) | Target Loss: 0.1150 | DDPM Loss: 0.0315
Client 4 (MNIST) | Target Loss: 0.3509 | DDPM Loss: 0.0314
Client 5 (MNIST) | Target Loss: 0.9200 | DDPM Loss: 0.0320
Client 6 (MNIST) | Target Loss: 0.2139 | DDPM Loss: 0.0302
Client 7 (MNIST) | Target Loss: 0.2087 | DDPM Loss: 0.0310
Client 8 (MNIST) | Target Loss: 0.9936 | DDPM Loss: 0.0312
Client 9 (MNIST) | Target Loss: 0.7944 | DDPM Loss: 0.0315
Client 11 (EMNIST) | Target Loss: 0.6424 | DDPM Loss: 0.0127
Client 12 (EMNIST) | Target Loss: 0.5770 | DDPM Loss: 0.0127
Client 13 (EMNIST) | Target Loss: 0.4469 | DDPM Loss: 0.0127
Client 14 (EMNIST) | Target Loss: 0.4239 | DDPM Loss: 0.0126
Client 15 (EMNIST) | Target Loss: 0.6320 | DDPM Loss: 0.0125
Client 16 (EMNIST) | Target Loss: 1.0485 | DDPM Loss: 0.0126
Client 17 (EMNIST) | Target Loss: 0.5231 | DDPM Loss: 0.0127
Client 18 (EMNIST) | Target Loss: 0.4378 | DDPM Loss: 0.0127
Client 19 (EMNIST) | Target Loss: 0.6846 | DDPM Loss: 0.0126
Client 20 (EMNIST) | Target Loss: 0.7361 | DDPM Loss: 0.0127
Client 22 (CIFAR10) | Target Loss: 1.6367 | DDPM Loss: 0.0581
Client 23 (CIFAR10) | Target Loss: 1.5048 | DDPM Loss: 0.0593
Client 24 (CIFAR10) | Target Loss: 1.4517 | DDPM Loss: 0.0593
Client 25 (CIFAR10) | Target Loss: 1.5350 | DDPM Loss: 0.0586
Client 26 (CIFAR10) | Target Loss: 1.8371 | DDPM Loss: 0.0591
Client 27 (CIFAR10) | Target Loss: 1.6953 | DDPM Loss: 0.0584
Client 28 (CIFAR10) | Target Loss: 1.7407 | DDPM Loss: 0.0594
Client 29 (CIFAR10) | Target Loss: 1.6913 | DDPM Loss: 0.0590
Client 30 (CIFAR10) | Target Loss: 1.9897 | DDPM Loss: 0.0587
Client 31 (CIFAR10) | Target Loss: 1.9932 | DDPM Loss: 0.0579
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]
--- Round 4 ---
Client 0 (MNIST) | Target Loss: 0.2842 | DDPM Loss: 0.0233
Client 1 (MNIST) | Target Loss: 0.1529 | DDPM Loss: 0.0231
Client 2 (MNIST) | Target Loss: 0.0765 | DDPM Loss: 0.0240
Client 3 (MNIST) | Target Loss: 0.0712 | DDPM Loss: 0.0241
Client 4 (MNIST) | Target Loss: 0.2815 | DDPM Loss: 0.0239
Client 5 (MNIST) | Target Loss: 0.7579 | DDPM Loss: 0.0267
Client 6 (MNIST) | Target Loss: 0.1632 | DDPM Loss: 0.0235
Client 7 (MNIST) | Target Loss: 0.1531 | DDPM Loss: 0.0244
Client 8 (MNIST) | Target Loss: 1.3452 | DDPM Loss: 0.0238
Client 9 (MNIST) | Target Loss: 0.4018 | DDPM Loss: 0.0236
Client 11 (EMNIST) | Target Loss: 0.5869 | DDPM Loss: 0.0106
Client 12 (EMNIST) | Target Loss: 0.5259 | DDPM Loss: 0.0105
Client 13 (EMNIST) | Target Loss: 0.4165 | DDPM Loss: 0.0105
Client 14 (EMNIST) | Target Loss: 0.3942 | DDPM Loss: 0.0105
Client 15 (EMNIST) | Target Loss: 0.5805 | DDPM Loss: 0.0105
Client 16 (EMNIST) | Target Loss: 0.9055 | DDPM Loss: 0.0105
Client 17 (EMNIST) | Target Loss: 0.4780 | DDPM Loss: 0.0106
Client 18 (EMNIST) | Target Loss: 0.4044 | DDPM Loss: 0.0106
Client 19 (EMNIST) | Target Loss: 0.6103 | DDPM Loss: 0.0106
Client 20 (EMNIST) | Target Loss: 0.6661 | DDPM Loss: 0.0107
Client 22 (CIFAR10) | Target Loss: 1.5218 | DDPM Loss: 0.0506
Client 23 (CIFAR10) | Target Loss: 1.3967 | DDPM Loss: 0.0507
Client 24 (CIFAR10) | Target Loss: 1.3459 | DDPM Loss: 0.0520
Client 25 (CIFAR10) | Target Loss: 1.4621 | DDPM Loss: 0.0499
Client 26 (CIFAR10) | Target Loss: 1.7240 | DDPM Loss: 0.0499
Client 27 (CIFAR10) | Target Loss: 1.6364 | DDPM Loss: 0.0510
Client 28 (CIFAR10) | Target Loss: 1.6222 | DDPM Loss: 0.0508
Client 29 (CIFAR10) | Target Loss: 1.5851 | DDPM Loss: 0.0506
Client 30 (CIFAR10) | Target Loss: 1.8857 | DDPM Loss: 0.0518
Client 31 (CIFAR10) | Target Loss: 1.9315 | DDPM Loss: 0.0500
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]
--- Round 5 ---
Client 0 (MNIST) | Target Loss: 0.2472 | DDPM Loss: 0.0205
Client 1 (MNIST) | Target Loss: 0.1204 | DDPM Loss: 0.0202
Client 2 (MNIST) | Target Loss: 0.0625 | DDPM Loss: 0.0208
Client 3 (MNIST) | Target Loss: 0.1245 | DDPM Loss: 0.0207
Client 4 (MNIST) | Target Loss: 0.2065 | DDPM Loss: 0.0201
Client 5 (MNIST) | Target Loss: 0.6266 | DDPM Loss: 0.0199
Client 6 (MNIST) | Target Loss: 0.1249 | DDPM Loss: 0.0195
Client 7 (MNIST) | Target Loss: 0.1038 | DDPM Loss: 0.0204
Client 8 (MNIST) | Target Loss: 1.2211 | DDPM Loss: 0.0202
Client 9 (MNIST) | Target Loss: 0.3168 | DDPM Loss: 0.0201
Client 11 (EMNIST) | Target Loss: 0.5534 | DDPM Loss: 0.0099
Client 12 (EMNIST) | Target Loss: 0.4953 | DDPM Loss: 0.0098
Client 13 (EMNIST) | Target Loss: 0.3942 | DDPM Loss: 0.0098
Client 14 (EMNIST) | Target Loss: 0.3744 | DDPM Loss: 0.0098
Client 15 (EMNIST) | Target Loss: 0.5559 | DDPM Loss: 0.0098
Client 16 (EMNIST) | Target Loss: 0.8242 | DDPM Loss: 0.0099
Client 17 (EMNIST) | Target Loss: 0.4546 | DDPM Loss: 0.0098
Client 18 (EMNIST) | Target Loss: 0.3775 | DDPM Loss: 0.0099
Client 19 (EMNIST) | Target Loss: 0.5700 | DDPM Loss: 0.0099
Client 20 (EMNIST) | Target Loss: 0.6043 | DDPM Loss: 0.0099
Client 22 (CIFAR10) | Target Loss: 1.3965 | DDPM Loss: 0.0471
Client 23 (CIFAR10) | Target Loss: 1.3085 | DDPM Loss: 0.0463
Client 24 (CIFAR10) | Target Loss: 1.2291 | DDPM Loss: 0.0469
Client 25 (CIFAR10) | Target Loss: 1.3238 | DDPM Loss: 0.0470
Client 26 (CIFAR10) | Target Loss: 1.6102 | DDPM Loss: 0.0469
Client 27 (CIFAR10) | Target Loss: 1.6057 | DDPM Loss: 0.0459
Client 28 (CIFAR10) | Target Loss: 1.5526 | DDPM Loss: 0.0463
Client 29 (CIFAR10) | Target Loss: 1.4794 | DDPM Loss: 0.0474
Client 30 (CIFAR10) | Target Loss: 1.7981 | DDPM Loss: 0.0484
Client 31 (CIFAR10) | Target Loss: 1.8877 | DDPM Loss: 0.0471
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]
--- Round 6 ---
Client 0 (MNIST) | Target Loss: 0.2214 | DDPM Loss: 0.0181
Client 1 (MNIST) | Target Loss: 0.1012 | DDPM Loss: 0.0178
Client 2 (MNIST) | Target Loss: 0.0561 | DDPM Loss: 0.0180
Client 3 (MNIST) | Target Loss: 0.0906 | DDPM Loss: 0.0182
Client 4 (MNIST) | Target Loss: 0.1814 | DDPM Loss: 0.0176
Client 5 (MNIST) | Target Loss: 0.5584 | DDPM Loss: 0.0174
Client 6 (MNIST) | Target Loss: 0.1049 | DDPM Loss: 0.0179
Client 7 (MNIST) | Target Loss: 0.0827 | DDPM Loss: 0.0176
Client 8 (MNIST) | Target Loss: 1.0507 | DDPM Loss: 0.0231
Client 9 (MNIST) | Target Loss: 0.2666 | DDPM Loss: 0.0179
Client 11 (EMNIST) | Target Loss: 0.5219 | DDPM Loss: 0.0094
Client 12 (EMNIST) | Target Loss: 0.4736 | DDPM Loss: 0.0094
Client 13 (EMNIST) | Target Loss: 0.3769 | DDPM Loss: 0.0094
Client 14 (EMNIST) | Target Loss: 0.3575 | DDPM Loss: 0.0094
Client 15 (EMNIST) | Target Loss: 0.5232 | DDPM Loss: 0.0094
Client 16 (EMNIST) | Target Loss: 0.7687 | DDPM Loss: 0.0094
Client 17 (EMNIST) | Target Loss: 0.4350 | DDPM Loss: 0.0095
Client 18 (EMNIST) | Target Loss: 0.3550 | DDPM Loss: 0.0095
Client 19 (EMNIST) | Target Loss: 0.5404 | DDPM Loss: 0.0095
Client 20 (EMNIST) | Target Loss: 0.5742 | DDPM Loss: 0.0095
Client 22 (CIFAR10) | Target Loss: 1.2776 | DDPM Loss: 0.0439
Client 23 (CIFAR10) | Target Loss: 1.2557 | DDPM Loss: 0.0451
Client 24 (CIFAR10) | Target Loss: 1.1607 | DDPM Loss: 0.0449
Client 25 (CIFAR10) | Target Loss: 1.2341 | DDPM Loss: 0.0435
Client 26 (CIFAR10) | Target Loss: 1.5329 | DDPM Loss: 0.0447
Client 27 (CIFAR10) | Target Loss: 1.5609 | DDPM Loss: 0.0445
Client 28 (CIFAR10) | Target Loss: 1.4824 | DDPM Loss: 0.0440
Client 29 (CIFAR10) | Target Loss: 1.4119 | DDPM Loss: 0.0441
Client 30 (CIFAR10) | Target Loss: 1.7039 | DDPM Loss: 0.0452
Client 31 (CIFAR10) | Target Loss: 1.8379 | DDPM Loss: 0.0436
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]
--- Round 7 ---
Client 0 (MNIST) | Target Loss: 0.1932 | DDPM Loss: 0.0166
Client 1 (MNIST) | Target Loss: 0.0777 | DDPM Loss: 0.0169
Client 2 (MNIST) | Target Loss: 0.0602 | DDPM Loss: 0.0163
Client 3 (MNIST) | Target Loss: 0.0484 | DDPM Loss: 0.0176
Client 4 (MNIST) | Target Loss: 0.1702 | DDPM Loss: 0.0172
Client 5 (MNIST) | Target Loss: 0.5133 | DDPM Loss: 0.0175
Client 6 (MNIST) | Target Loss: 0.0811 | DDPM Loss: 0.0161
Client 7 (MNIST) | Target Loss: 0.0618 | DDPM Loss: 0.0163
Client 8 (MNIST) | Target Loss: 0.9311 | DDPM Loss: 0.0162
Client 9 (MNIST) | Target Loss: 0.1851 | DDPM Loss: 0.0157
Client 11 (EMNIST) | Target Loss: 0.4981 | DDPM Loss: 0.0093
Client 12 (EMNIST) | Target Loss: 0.4551 | DDPM Loss: 0.0092
Client 13 (EMNIST) | Target Loss: 0.3625 | DDPM Loss: 0.0093
Client 14 (EMNIST) | Target Loss: 0.3380 | DDPM Loss: 0.0092
Client 15 (EMNIST) | Target Loss: 0.5047 | DDPM Loss: 0.0092
Client 16 (EMNIST) | Target Loss: 0.7335 | DDPM Loss: 0.0092
Client 17 (EMNIST) | Target Loss: 0.4205 | DDPM Loss: 0.0092
Client 18 (EMNIST) | Target Loss: 0.3387 | DDPM Loss: 0.0092
Client 19 (EMNIST) | Target Loss: 0.5134 | DDPM Loss: 0.0092
Client 20 (EMNIST) | Target Loss: 0.5531 | DDPM Loss: 0.0093
Client 22 (CIFAR10) | Target Loss: 1.1366 | DDPM Loss: 0.0430
Client 23 (CIFAR10) | Target Loss: 1.2013 | DDPM Loss: 0.0438
Client 24 (CIFAR10) | Target Loss: 1.0787 | DDPM Loss: 0.0425
Client 25 (CIFAR10) | Target Loss: 1.1462 | DDPM Loss: 0.0424
Client 26 (CIFAR10) | Target Loss: 1.4812 | DDPM Loss: 0.0414
Client 27 (CIFAR10) | Target Loss: 1.5407 | DDPM Loss: 0.0428
Client 28 (CIFAR10) | Target Loss: 1.4440 | DDPM Loss: 0.0425
Client 29 (CIFAR10) | Target Loss: 1.3109 | DDPM Loss: 0.0432
Client 30 (CIFAR10) | Target Loss: 1.6335 | DDPM Loss: 0.0443
Client 31 (CIFAR10) | Target Loss: 1.8132 | DDPM Loss: 0.0422
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]
--- Round 8 ---
Client 0 (MNIST) | Target Loss: 0.1620 | DDPM Loss: 0.0149
Client 1 (MNIST) | Target Loss: 0.0697 | DDPM Loss: 0.0151
Client 2 (MNIST) | Target Loss: 0.0601 | DDPM Loss: 0.0154
Client 3 (MNIST) | Target Loss: 0.0924 | DDPM Loss: 0.0215
Client 4 (MNIST) | Target Loss: 0.1589 | DDPM Loss: 0.0154
Client 5 (MNIST) | Target Loss: 0.4543 | DDPM Loss: 0.0154
Client 6 (MNIST) | Target Loss: 0.0812 | DDPM Loss: 0.0148
Client 7 (MNIST) | Target Loss: 0.0602 | DDPM Loss: 0.0151
Client 8 (MNIST) | Target Loss: 0.8488 | DDPM Loss: 0.0153
Client 9 (MNIST) | Target Loss: 0.1434 | DDPM Loss: 0.0153
Client 11 (EMNIST) | Target Loss: 0.4809 | DDPM Loss: 0.0091
Client 12 (EMNIST) | Target Loss: 0.4407 | DDPM Loss: 0.0090
Client 13 (EMNIST) | Target Loss: 0.3458 | DDPM Loss: 0.0090
Client 14 (EMNIST) | Target Loss: 0.3261 | DDPM Loss: 0.0090
Client 15 (EMNIST) | Target Loss: 0.4874 | DDPM Loss: 0.0090
Client 16 (EMNIST) | Target Loss: 0.7042 | DDPM Loss: 0.0090
Client 17 (EMNIST) | Target Loss: 0.4080 | DDPM Loss: 0.0090
Client 18 (EMNIST) | Target Loss: 0.3214 | DDPM Loss: 0.0090
Client 19 (EMNIST) | Target Loss: 0.4959 | DDPM Loss: 0.0090
Client 20 (EMNIST) | Target Loss: 0.5349 | DDPM Loss: 0.0091
Client 22 (CIFAR10) | Target Loss: 1.0197 | DDPM Loss: 0.0422
Client 23 (CIFAR10) | Target Loss: 1.1544 | DDPM Loss: 0.0420
Client 24 (CIFAR10) | Target Loss: 1.0065 | DDPM Loss: 0.0414
Client 25 (CIFAR10) | Target Loss: 1.0469 | DDPM Loss: 0.0420
Client 26 (CIFAR10) | Target Loss: 1.4314 | DDPM Loss: 0.0416
Client 27 (CIFAR10) | Target Loss: 1.4962 | DDPM Loss: 0.0413
Client 28 (CIFAR10) | Target Loss: 1.3951 | DDPM Loss: 0.0419
Client 29 (CIFAR10) | Target Loss: 1.2441 | DDPM Loss: 0.0413
Client 30 (CIFAR10) | Target Loss: 1.5476 | DDPM Loss: 0.0438
Client 31 (CIFAR10) | Target Loss: 1.7746 | DDPM Loss: 0.0418
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]
--- Round 9 ---
Client 0 (MNIST) | Target Loss: 0.1484 | DDPM Loss: 0.0143
Client 1 (MNIST) | Target Loss: 0.0501 | DDPM Loss: 0.0141
Client 2 (MNIST) | Target Loss: 0.0343 | DDPM Loss: 0.0144
Client 3 (MNIST) | Target Loss: 0.0669 | DDPM Loss: 0.0148
Client 4 (MNIST) | Target Loss: 0.1439 | DDPM Loss: 0.0144
Client 5 (MNIST) | Target Loss: 0.4274 | DDPM Loss: 0.0146
Client 6 (MNIST) | Target Loss: 0.0694 | DDPM Loss: 0.0144
Client 7 (MNIST) | Target Loss: 0.0370 | DDPM Loss: 0.0148
Client 8 (MNIST) | Target Loss: 0.7990 | DDPM Loss: 0.0200
Client 9 (MNIST) | Target Loss: 0.1444 | DDPM Loss: 0.0138
Client 11 (EMNIST) | Target Loss: 0.4610 | DDPM Loss: 0.0089
Client 12 (EMNIST) | Target Loss: 0.4267 | DDPM Loss: 0.0088
Client 13 (EMNIST) | Target Loss: 0.3321 | DDPM Loss: 0.0089
Client 14 (EMNIST) | Target Loss: 0.3099 | DDPM Loss: 0.0088
Client 15 (EMNIST) | Target Loss: 0.4670 | DDPM Loss: 0.0089
Client 16 (EMNIST) | Target Loss: 0.6900 | DDPM Loss: 0.0088
Client 17 (EMNIST) | Target Loss: 0.3940 | DDPM Loss: 0.0089
Client 18 (EMNIST) | Target Loss: 0.3054 | DDPM Loss: 0.0089
Client 19 (EMNIST) | Target Loss: 0.4760 | DDPM Loss: 0.0089
Client 20 (EMNIST) | Target Loss: 0.5223 | DDPM Loss: 0.0089
Client 22 (CIFAR10) | Target Loss: 0.8993 | DDPM Loss: 0.0400
Client 23 (CIFAR10) | Target Loss: 1.0910 | DDPM Loss: 0.0404
Client 24 (CIFAR10) | Target Loss: 0.9340 | DDPM Loss: 0.0404
Client 25 (CIFAR10) | Target Loss: 0.9577 | DDPM Loss: 0.0405
Client 26 (CIFAR10) | Target Loss: 1.3671 | DDPM Loss: 0.0398
Client 27 (CIFAR10) | Target Loss: 1.4655 | DDPM Loss: 0.0403
Client 28 (CIFAR10) | Target Loss: 1.3460 | DDPM Loss: 0.0403
Client 29 (CIFAR10) | Target Loss: 1.1238 | DDPM Loss: 0.0414
Client 30 (CIFAR10) | Target Loss: 1.5239 | DDPM Loss: 0.0417
Client 31 (CIFAR10) | Target Loss: 1.7262 | DDPM Loss: 0.0407
Selected client ids: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]
--- Round 10 ---
Client 0 (MNIST) | Target Loss: 0.1146 | DDPM Loss: 0.0139
Client 1 (MNIST) | Target Loss: 0.0531 | DDPM Loss: 0.0132
Client 2 (MNIST) | Target Loss: 0.0264 | DDPM Loss: 0.0136
Client 3 (MNIST) | Target Loss: 0.0905 | DDPM Loss: 0.0157
Client 4 (MNIST) | Target Loss: 0.0965 | DDPM Loss: 0.0138
Client 5 (MNIST) | Target Loss: 0.3666 | DDPM Loss: 0.0132
Client 6 (MNIST) | Target Loss: 0.0532 | DDPM Loss: 0.0131
Client 7 (MNIST) | Target Loss: 0.0459 | DDPM Loss: 0.0137
Client 8 (MNIST) | Target Loss: 0.7385 | DDPM Loss: 0.0150
Client 9 (MNIST) | Target Loss: 0.1206 | DDPM Loss: 0.0140
Client 11 (EMNIST) | Target Loss: 0.4496 | DDPM Loss: 0.0087
